"model","family","images","warmup_images","repetitions","measured_inferences","model_size_mb","elapsed_s","trial_elapsed_s_json","trial_latency_s_mean","trial_latency_s_std","inference_time_s_per_image","fps","ram_baseline_mb","ram_peak_mb","cpu_mean_percent_total","gpu_power_mean_w","energy_total_j","energy_j_per_image","resource_samples","ram_delta_mb"
"YOLOv8n","yolo","892","892","3","2676","12.807296752929688","32.08921649999684","[10.582820700015873, 10.790013200021349, 10.71637660000124]","0.01199148374440899","0.00011774704054692825","0.011991485986545904","83.39250040586886","1331.7109375","1357.66015625","3.136488439306358","21.955248554913297","704.4441170581165","0.2632451857466803","1038","25.94921875"
"YOLOv8s","yolo","892","892","3","2676","22.78269672393799","35.11763470000005","[11.676653100003023, 11.848937600007048, 11.592038200004026]","0.013123179708525447","0.00014677033964489747","0.01312318187593425","76.20103184227257","1358.640625","1383.84765625","3.1435490088105724","51.451264317180616","1806.8373476479428","0.6752008025590219","1135","25.20703125"
"YOLOv8m","yolo","892","892","3","2676","104.34851837158203","59.62797570001567","[19.727813399978913, 19.859141299995827, 20.041011599998455]","0.022282498617329297","0.00017631986756357274","0.0222825021300507","44.87826340881964","1457.1171875","1483.15234375","3.2344422211105552","64.53674587293646","3848.037521147685","1.437981136452797","1999","26.03515625"
"YOLOv8l","yolo","892","892","3","2676","175.77371311187744","87.07671480000135","[28.85186990001239, 29.075157399987802, 29.149676799977897]","0.032539874476822904","0.00017373631433874144","0.03253987847533683","30.731522269142364","1473.95703125","1499.65625","3.16032887975334","75.03465090784516","6525.496730600053","2.4385264314648927","2919","25.69921875"
"YOLOv8x","yolo","892","892","3","2676","274.25283908843994","131.96982029997162","[43.60853590001352, 44.10022010002285, 44.26105540001299]","0.049316073019450436","0.00038111179717239456","0.049316076345280874","20.2773633692716","1502.7578125","1527.984375","3.341615229039714","77.22872893465014","10191.539462537869","3.808497557002193","4759","25.2265625"
"YOLOv11n","yolo","892","892","3","2676","5.745999336242676","41.810384399985196","[14.289535699994303, 13.85511130001396, 13.665725300001213]","0.015624204895369758","0.0003585490381059435","0.015624209417034827","64.00323839167926","1312.30078125","1337.90625","3.152548920994879","17.880205559619608","747.58692265238","0.2793673104082138","1367","25.60546875"
"YOLOv11s","yolo","892","892","3","2676","19.588589668273926","43.81931859999895","[14.570189099991694, 14.809228999976767, 14.439894200011622]","0.016374929857989568","0.00020999617706801016","0.016374932212256707","61.068955097810765","1370.1796875","1395.61328125","3.099807726308345","43.936326025459685","1925.2117535702118","0.7194363802579267","1414","25.43359375"
"YOLOv11m","yolo","892","892","3","2676","43.08726406097412","60.40921589999925","[19.910443700006, 20.11172670000815, 20.38703829998849]","0.02257444271300547","0.0002682215345147523","0.022574445403587166","44.297876741684924","1406.9921875","1432.99609375","3.2123311229548834","65.16920624690134","3937.1270179860767","1.4712731756300734","2017","26.00390625"
"YOLOv11l","yolo","892","892","3","2676","53.28481483459473","77.57673910001176","[24.983450100000482, 26.1592207000067, 26.434057500009658]","0.028989808781770123","0.0008638149543129269","0.028989812817642662","34.49487605492294","1411.48046875","1437.5234375","3.1757367291178764","63.4403337236534","4922.476674013236","1.8394905358793858","2562","26.04296875"
"YOLOv11x","yolo","892","892","3","2676","119.00997352600098","127.27483450001455","[42.11259809997864, 42.526709700003266, 42.63551749999169]","0.04756159390880926","0.0003093209803294481","0.04756159734679168","21.02536617322959","1506.125","1531.59765625","3.26655766039823","78.23051548672568","9960.74550373192","3.7222516830089387","4520","25.47265625"
"mask_rcnn_R_101_C4_3x","detectron","892","892","3","2676","412.46360778808594","103.98938640000415","[34.01953050002339, 34.43464839999797, 35.53519930000766]","0.03886000680120666","0.0008780714721591932","0.0388600098654724","25.733395422745694","1843.80859375","1872.12890625","3.1822055253090045","59.83900588581519","6222.932653768757","2.3254606329479657","3398","28.3203125"
"mask_rcnn_R_101_DC5_3x","detectron","892","892","3","2676","1456.4638061523438","136.27531050000107","[45.11548410000978, 45.298641000001226, 45.86117590000504]","0.05092500037369807","0.00043564745092195646","0.05092500392376722","19.636719154640847","3433.4453125","3462.203125","3.174751365054602","66.51546757298864","9062.072848120673","3.3864248311362757","4487","28.7578125"
"mask_rcnn_R_101_FPN_3x","detectron","892","892","3","2676","479.84051513671875","129.1776186999923","[42.122804899991024, 43.3174571999989, 43.73734689998673]","0.04827264910313029","0.00093910321188672","0.04827265272794929","20.715662875121257","1921.5703125","1949.7421875","3.206375117068602","58.677158745024585","7580.199449418948","2.832660481845646","4271","28.171875"
"mask_rcnn_R_50_C4_1x","detectron","892","892","3","2676","267.4653511047363","84.89552349998849","[28.112479600007646, 28.226034999999683, 28.55700070000603]","0.03172478150224714","0.00025891446406554484","0.031724784566512884","31.521096633562344","1680.3984375","1708.9765625","3.2323176351825844","57.07543785112359","4845.25899857327","1.8106349023069022","2848","28.578125"
