family,model,images,model_size_mb,peak_process_ram_mb,latency_s_per_image,trial_latency_s_std,fps,normalized_cpu_percent,gpu_energy_j_per_image
YOLOv8,YOLOv8x,892,274.25,1527.98,0.0493,0.0004,20.28,3.34,3.808
YOLOv8,YOLOv8l,892,175.77,1499.66,0.0325,0.0002,30.73,3.16,2.439
YOLOv8,YOLOv8m,892,104.35,1483.15,0.0223,0.0002,44.88,3.23,1.438
YOLOv8,YOLOv8s,892,22.78,1383.85,0.0131,0.0001,76.2,3.14,0.675
YOLOv8,YOLOv8n,892,12.81,1357.66,0.012,0.0001,83.39,3.14,0.263
YOLOv11,YOLOv11x,892,119.01,1531.6,0.0476,0.0003,21.03,3.27,3.722
YOLOv11,YOLOv11l,892,53.28,1437.52,0.029,0.0009,34.49,3.18,1.839
YOLOv11,YOLOv11m,892,43.09,1433.0,0.0226,0.0003,44.3,3.21,1.471
YOLOv11,YOLOv11s,892,19.59,1395.61,0.0164,0.0002,61.07,3.1,0.719
YOLOv11,YOLOv11n,892,5.75,1337.91,0.0156,0.0004,64.0,3.15,0.279
Mask R-CNN,ResNet-101 FPN 3x,892,479.84,1949.74,0.0483,0.0009,20.72,3.21,2.833
Mask R-CNN,ResNet-101 C4 3x,892,412.46,1872.13,0.0389,0.0009,25.73,3.18,2.325
Mask R-CNN,ResNet-101 DC5 3x,892,1456.46,3462.2,0.0509,0.0004,19.64,3.17,3.386
Mask R-CNN,ResNet-50 C4 3x,892,267.47,1767.68,0.031,0.0002,32.25,3.2,1.796
Mask R-CNN,ResNet-50 C4 1x,892,267.47,1708.98,0.0317,0.0003,31.52,3.23,1.811
Mask R-CNN,ResNet-50 DC5 1x,892,1311.47,3337.6,0.0425,0.0006,23.51,3.19,2.753
U-Net,U-Net,892,21.63,985.39,0.0154,0.0002,64.77,3.37,0.909
