family,model,images,iou_percent,iou_std_percent,iou_ci95_halfwidth_percent,map_50_percent,map_50_95_percent,dice_f1_percent,dice_f1_std_percent,dice_f1_ci95_halfwidth_percent,boundary_iou_percent,boundary_f1_percent,pixel_accuracy_percent,precision_percent,recall_percent
YOLOv8,YOLOv8x,892,71.57,31.54,2.07,88.83,64.1,77.75,31.3,2.05,39.37,59.1,82.19,84.47,77.01
YOLOv8,YOLOv8l,892,88.02,12.73,0.84,92.79,72.56,92.97,9.99,0.66,45.02,66.74,95.23,92.54,94.14
YOLOv8,YOLOv8m,892,83.82,14.52,0.95,84.89,55.82,90.32,11.45,0.75,34.97,54.65,93.83,89.9,91.8
YOLOv8,YOLOv8s,892,89.03,11.22,0.74,92.02,71.12,93.73,8.06,0.53,45.1,66.58,96.02,92.88,95.18
YOLOv8,YOLOv8n,892,86.33,13.86,0.91,91.7,68.35,91.86,11.16,0.73,40.95,62.15,94.58,91.3,93.28
YOLOv11,YOLOv11x,892,88.6,13.36,0.88,92.66,74.18,93.2,10.86,0.71,48.04,70.22,95.15,93.4,94.11
YOLOv11,YOLOv11l,892,88.3,14.39,0.94,92.09,74.19,92.88,12.27,0.8,47.53,69.72,95.03,92.87,93.98
YOLOv11,YOLOv11m,892,88.78,13.0,0.85,92.28,73.06,93.36,10.33,0.68,47.96,70.02,95.49,93.12,94.52
YOLOv11,YOLOv11s,892,87.88,13.69,0.9,92.46,72.03,92.77,10.9,0.72,45.36,67.18,95.05,92.62,94.0
YOLOv11,YOLOv11n,892,87.19,12.56,0.82,91.57,67.91,92.51,9.93,0.65,41.06,62.25,95.1,91.69,94.05
Mask R-CNN,ResNet-101 FPN 3x,892,77.92,19.29,1.27,68.84,41.11,85.88,16.08,1.06,25.58,42.02,90.16,83.45,91.89
Mask R-CNN,ResNet-101 C4 3x,892,77.48,19.1,1.25,61.33,39.15,85.59,16.34,1.07,23.88,39.46,90.24,85.24,89.18
Mask R-CNN,ResNet-101 DC5 3x,892,73.05,23.92,1.57,56.22,31.8,81.44,22.0,1.44,23.09,38.46,85.96,80.47,89.36
Mask R-CNN,ResNet-50 C4 3x,892,75.92,18.21,1.19,56.58,34.31,84.82,14.64,0.96,22.9,38.02,89.74,84.44,88.26
Mask R-CNN,ResNet-50 C4 1x,892,75.59,19.25,1.26,56.03,33.88,84.37,16.05,1.05,21.54,36.12,89.29,83.24,89.13
Mask R-CNN,ResNet-50 DC5 1x,892,77.66,18.18,1.19,59.02,35.09,85.91,15.15,0.99,25.07,41.36,90.51,85.35,89.38
U-Net,U-Net,892,49.97,27.26,1.79,NA,NA,61.8,27.07,1.78,20.93,34.53,72.5,70.11,68.14
