model,image,iou,dice,precision,recall,pixel_accuracy,inference_time_s
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_01_07.png,0.0,0.0,0.0,0.0,0.3524627685546875,0.9007809000031557
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_01_13.png,0.001004062952412086,0.00200611164244559,1.0,0.001004062952412086,0.3471832275390625,0.013962800003355369
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_02_03.png,0.0,0.0,0.0,0.0,0.4564056396484375,0.014108400006080046
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_02_04.png,0.00022501526889324633,0.0004499292968247847,0.7777777777777778,0.00022502973607226669,0.525421142578125,0.01589619999867864
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_02_07.png,0.00031209362808842653,0.000623992512089855,0.5454545454545454,0.0003121748178980229,0.7067413330078125,0.014413400000194088
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_02_10.png,7.641608558601586e-05,0.00015282049322814189,0.26666666666666666,7.643214736118012e-05,0.2013397216796875,0.01377160000265576
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_02_11.png,0.0012514886659534528,0.002499848799467774,0.6666666666666666,0.0012522722682286407,0.2450103759765625,0.013809099997160956
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_03_05.png,0.0,0.0,0.0,0.0,0.4405670166015625,0.0143374000035692
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_03_06.png,0.0001285644493584634,0.00025709584533113944,0.35714285714285715,0.00012859420811686643,0.406646728515625,0.012991099996725097
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_03_11.png,0.0,0.0,0.0,0.0,0.11578369140625,0.013105300022289157
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_04_07.png,0.0,0.0,0.0,0.0,0.7891998291015625,0.01315519999479875
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_04_08.png,0.0,0.0,0.0,0.0,0.717437744140625,0.013306099979672581
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_04_09.png,0.0,0.0,0.0,0.0,0.42974853515625,0.013155699998605996
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_04_10.png,0.0007812916170960811,0.0015613633540923688,0.9777777777777777,0.0007813054904467647,0.1413421630859375,0.015753100014990196
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_04_11.png,0.0,0.0,0.0,0.0,0.1552581787109375,0.014845099998638034
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_05_05.png,0.0,0.0,0.0,0.0,0.517120361328125,0.014646299998275936
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_05_06.png,3.227784771311449e-05,6.45536117745788e-05,1.0,3.227784771311449e-05,0.52728271484375,0.012433299998519942
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_05_07.png,0.0,0.0,0.0,0.0,0.6261749267578125,0.015306000015698373
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_05_11.png,0.0,0.0,0.0,0.0,0.03887939453125,0.01456270000198856
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_01.png,0.0005239717055279015,0.0010473946059177796,1.0,0.0005239717055279015,0.068603515625,0.012687300011748448
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_06.png,0.00042766610940476654,0.000854966578579201,0.9166666666666666,0.0004276827371695179,0.21539306640625,0.012745399988489226
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_07.png,0.0008378913068776911,0.0016743796655891722,0.8780487804878049,0.0008379888268156424,0.3449554443359375,0.01326629999675788
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_09.png,0.0,0.0,0.0,0.0,0.431671142578125,0.013095200003590435
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_10.png,0.0,0.0,0.0,0.0,0.055389404296875,0.012701200001174584
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_13.png,0.0,0.0,0.0,0.0,0.322723388671875,0.013900899997679517
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_14.png,0.0,0.0,0.0,0.0,0.4719390869140625,0.012773800001014024
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_01.png,0.00012733987011333248,0.00025464731347084286,0.5454545454545454,0.00012735338441619085,0.2811279296875,0.01474199999938719
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_02.png,0.0,0.0,0.0,0.0,0.1866455078125,0.012537999980850145
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_03.png,0.00012591683193250857,0.00025180195776022157,1.0,0.00012591683193250857,0.030670166015625,0.01258040001266636
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_04.png,0.001032334181322125,0.002062539132996943,0.9032258064516129,0.001032448377581121,0.173126220703125,0.012464300001738593
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_05.png,0.00018838600291998304,0.00037670104063662477,0.8888888888888888,0.00018839043918521134,0.352142333984375,0.012496700015617535
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_06.png,0.0,0.0,0.0,0.0,0.3081207275390625,0.012795400019967929
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_09.png,0.0,0.0,0.0,0.0,0.1577301025390625,0.012601700000232086
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_11.png,0.0009031610637230306,0.00180469219971927,0.8653846153846154,0.0009032879682042635,0.24041748046875,0.012840600014897063
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_12.png,0.03476385594134138,0.06719186361552248,0.9595238095238096,0.03481491080298907,0.317047119140625,0.012477300013415515
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_13.png,0.0,0.0,0.0,0.0,0.1943511962890625,0.01237589999800548
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_14.png,0.0,0.0,0.0,0.0,0.3763885498046875,0.012466100015444681
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_15.png,0.0,0.0,0.0,0.0,0.5633087158203125,0.01230040000518784
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_08_01.png,8.253276550790665e-05,0.00016505190882532556,1.0,8.253276550790665e-05,0.0756683349609375,0.012590400001499802
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_08_09.png,0.0027986493474888205,0.005581677536781435,1.0,0.0027986493474888205,0.4998016357421875,0.012424200016539544
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_08_10.png,0.0016779044837336482,0.0033501876725501754,1.0,0.0016779044837336482,0.5097503662109375,0.012299300025915727
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_08_14.png,0.0019327084935264656,0.003857960673691197,0.9789473684210527,0.0019327888272336181,0.267181396484375,0.01255210000090301
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_01.png,0.001989195935799676,0.003970493781506062,0.6,0.0019918373723368937,0.2191314697265625,0.012293300009332597
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_02.png,0.0,0.0,0.0,0.0,0.3633575439453125,0.012795999995432794
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_03.png,0.0,0.0,0.0,0.0,0.9460296630859375,0.012810500018531457
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_07.png,0.0,0.0,0.0,0.0,0.7736663818359375,0.012419999984558672
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_08.png,0.001175022381378693,0.002347286648409993,0.5915492957746479,0.0011759764804703905,0.455230712890625,0.01249279998592101
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_09.png,0.0,0.0,0.0,0.0,0.1646270751953125,0.012437600002158433
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_10.png,0.0,0.0,0.0,0.0,0.047943115234375,0.012412099982611835
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_12.png,0.001472016957635352,0.0029397066172795953,1.0,0.001472016957635352,0.4824676513671875,0.012644400005228817
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_13.png,0.00033715441672285906,0.0006740815638692282,1.0,0.00033715441672285906,0.6380615234375,0.01251509998110123
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_15.png,0.007036263821232506,0.013974201474201474,0.978494623655914,0.007037352099605599,0.412139892578125,0.01260679998085834
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_09_16.png,0.0,0.0,0.0,0.0,0.6819610595703125,0.012470300018321723
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_10_01.png,0.0006279168434450572,0.0012550456226043893,0.7708333333333334,0.0006280340835794549,0.1014404296875,0.012392799981171265
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_10_02.png,0.0,0.0,0.0,0.0,0.77069091796875,0.013933799986261874
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_10_03.png,0.0,0.0,0.0,0.0,0.982269287109375,0.012061899993568659
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_10_04.png,0.0,0.0,0.0,0.0,0.9838714599609375,0.01202769999508746
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_10_09.png,0.0,0.0,0.0,0.0,0.3267974853515625,0.012421100022038445
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_10_11.png,3.401534091875436e-05,6.802836782938485e-05,1.0,3.401534091875436e-05,0.1028594970703125,0.012451799993868917
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_10_12.png,0.002644047344418221,0.005274149587625216,0.9551282051282052,0.0026443758208213536,0.14239501953125,0.012247699982253835
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_10_17.png,2.6427759718808638e-05,5.285412262156448e-05,1.0,2.6427759718808638e-05,0.422637939453125,0.01273879999644123
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_11_02.png,0.0,0.0,0.0,0.0,0.578704833984375,0.012635699997190386
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_11_03.png,0.0,0.0,0.0,0.0,0.973052978515625,0.012466699990909547
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_11_05.png,0.0,0.0,0.0,0.0,0.9417266845703125,0.012318899971432984
U-Net,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_11_07.png,0.0009423491717797834,0.0018829239717142977,0.5113636363636364,0.0009431984908824146,0.27203369140625,0.011989799997536466
