model,image,iou,dice,precision,recall,pixel_accuracy,inference_time_s
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_01_07.png,0.0,0.0,0.0,0.0,0.3530769348144531,20.16155279998202
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_01_13.png,0.0,0.0,0.0,0.0,0.3471565246582031,0.04186310002114624
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_02_03.png,0.0,0.0,0.0,0.0,0.4569206237792969,0.04369859999860637
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_02_04.png,0.0,0.0,0.0,0.0,0.5263519287109375,0.04236650001257658
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_02_07.png,0.0,0.0,0.0,0.0,0.7064704895019531,0.03548029999365099
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_02_10.png,0.0,0.0,0.0,0.0,0.20199203491210938,0.03637029998935759
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_02_11.png,0.0,0.0,0.0,0.0,0.24502944946289062,0.03413370001362637
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_03_05.png,0.0,0.0,0.0,0.0,0.4412269592285156,0.036741599993547425
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_03_06.png,0.0,0.0,0.0,0.0,0.4077720642089844,0.0350695000088308
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_03_11.png,0.0,0.0,0.0,0.0,0.1164703369140625,0.027743400016333908
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_04_07.png,0.12131583216804827,0.2163811991015695,0.13369773906676372,0.5670897961394702,0.13226318359375,1.7351216000097338
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_04_08.png,0.08503392895658089,0.15673966811038523,0.10930543781357134,0.2769058295964126,0.15851211547851562,0.03758830000879243
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_04_09.png,0.0,0.0,0.0,0.0,0.43114471435546875,0.04364769998937845
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_04_10.png,0.0,0.0,0.0,0.0,0.141571044921875,0.042623699991963804
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_04_11.png,0.0,0.0,0.0,0.0,0.15567398071289062,0.04675639999913983
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_05_05.png,0.0,0.0,0.0,0.0,0.5177536010742188,0.04251359999761917
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_05_06.png,0.0,0.0,0.0,0.0,0.5273399353027344,0.030642900004750118
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_05_07.png,0.10189308661857263,0.18494187477163757,0.14570726950146284,0.25309196293726277,0.16606903076171875,0.033716100006131455
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_05_11.png,0.0,0.0,0.0,0.0,0.039005279541015625,0.03175950000877492
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_01.png,0.0,0.0,0.0,0.0,0.0686187744140625,0.03441049999673851
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_06.png,0.0,0.0,0.0,0.0,0.215728759765625,0.0346443000016734
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_07.png,0.0,0.0,0.0,0.0,0.3458747863769531,0.030001300008734688
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_09.png,0.0,0.0,0.0,0.0,0.43194580078125,0.0260837999812793
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_10.png,0.0,0.0,0.0,0.0,0.056148529052734375,0.02554140001302585
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_13.png,0.0,0.0,0.0,0.0,0.3239173889160156,0.02671789997839369
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_06_14.png,0.0,0.0,0.0,0.0,0.47252655029296875,0.024889899999834597
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_01.png,0.0,0.0,0.0,0.0,0.2826194763183594,0.026595699979225174
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_02.png,0.0,0.0,0.0,0.0,0.18778610229492188,0.025405899999896064
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_03.png,0.0,0.0,0.0,0.0,0.03110504150390625,0.024864799983333796
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_04.png,0.0112041454414461,0.02216000694212913,1.0,0.0112041454414461,0.18326950073242188,0.024517999991076067
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_05.png,0.0,0.0,0.0,0.0,0.3530120849609375,0.023473299981560558
YOLOv8n,train_S2A_MSIL2A_20200111T142701_N0213_R053_T20NQG_20200111T164651_07_06.png,0.0,0.0,0.0,0.0,0.30918121337890625,0.02790600000298582
