model,n,elapsed_s,iou_mean,iou_std,dice_mean,dice_std,precision_mean,precision_std,recall_mean,recall_std,pixel_accuracy_mean,pixel_accuracy_std,inference_time_s_mean,inference_time_s_std
YOLOv8n,599,35.689693599997554,0.03549778176168916,0.15312049644612902,0.04321710697014481,0.17307925559988582,0.06348693073335933,0.22149237932263519,0.051930513634120753,0.2033322662654652,0.4808839597367683,0.3103731886469653,0.05772670217049627,0.8250916721273798
YOLOv8s,599,14.69723079999676,0.25794456056939236,0.29763013597943117,0.33514344802989215,0.3239475199581213,0.2794778496180808,0.3137086485817163,0.6265251999435503,0.47085065096643913,0.3506749938047788,0.27257167990090797,0.022741083472711383,0.032880788283583526
YOLOv8m,599,19.7326938000042,0.019680839523833683,0.11475002043850988,0.024491718332455586,0.126779634026815,0.07812576789964179,0.25665814416236926,0.020693383342553447,0.1204039957607453,0.4832648657797175,0.30920569086953237,0.03107725075140552,0.029546491934194164
YOLOv8l,599,25.313761099998374,0.07517162058483308,0.170691174142375,0.10682115156678541,0.21233272281008042,0.11433087134802283,0.24945487282706566,0.2246545280500165,0.3986947189257264,0.3824953388093111,0.2828296881868519,0.04022069415665474,0.025459063229814092
YOLOv8x,599,35.03051899999264,0.0034213806474649674,0.04271343843672033,0.00488425263048418,0.04634723666018488,0.0742478931824892,0.2570498621281739,0.0017671121556872376,0.012963481112447283,0.4733268470318369,0.30981150984361444,0.056493167112278635,0.04107979892971159
YOLOv11n,599,17.692810400010785,0.47958214228922774,0.3159340353454476,0.5858685332701367,0.2967486016029687,0.489430200334663,0.3222166147331918,0.9224626996969737,0.21726969738212734,0.49427760383720587,0.30387741506228005,0.02746054073446819,0.031188446041016928
YOLOv11s,599,16.716003499983344,0.03444529511781227,0.14688126435958032,0.042949777651324274,0.16878177788681026,0.03777153995228148,0.15781610116953496,0.05616418359984737,0.2091171607803979,0.4730374395150772,0.310430238035205,0.026113384807195113,0.0079521133142295
YOLOv11m,599,20.545795400015777,0.001669449081803005,0.04082477215571781,0.001669449081803005,0.04082477215571781,0.0,0.0,0.0,0.0,0.47249140285689367,0.31021030369787467,0.03238694023399051,0.029051646864817624
YOLOv11l,599,23.775072499993257,0.001670236008730233,0.04082474451127999,0.0016710221941407103,0.04082472595088016,5.819430350511565e-05,0.001423085739632865,7.973329478671493e-07,1.9498010621424993e-05,0.47248324488160603,0.31020657762280185,0.037789440568012166,0.015863894474798503
YOLOv11x,599,34.253860899974825,0.001758559406496457,0.040834772248567276,0.0018454584189054144,0.0408705440184331,0.009717365971060115,0.09668076091203881,8.919548213698918e-05,0.0010569616769166043,0.47255448865174055,0.31014894899380985,0.0551602559260661,0.04609030201712715
