model,n,iou_mean,dice_mean,precision_mean,recall_mean,pixel_accuracy_mean,inference_time_s_mean,iou_std,dice_std,precision_std,recall_std,pixel_accuracy_std,inference_time_s_std
YOLOv8n,5108,0.3871320268069614,0.4565159845296587,0.5448977048870389,0.4532349650010003,0.6284947526016176,0.07975037499992065,0.3595689805812602,0.3959841433376517,0.4423130576789713,0.39312882293040097,0.3018259689812618,0.03384338801228292
YOLOv8s,5108,0.4732798093910736,0.5419021763273475,0.6128554116944418,0.5542593423584353,0.6992484012803905,0.3190269843186841,0.3758094095864293,0.3986339488527226,0.42498414583367794,0.4025481533111852,0.2726239137270951,0.2553671837420181
YOLOv8m,5108,0.4312076379472669,0.5099643979766346,0.6143549061874327,0.5017474666671292,0.66402928196273,0.03463132760375412,0.35148546299791883,0.38147758692913625,0.42156461300826004,0.3774953854159278,0.27169816899120447,0.009474760579461984
YOLOv8l,5108,0.37033376058090095,0.44199563733609226,0.5511867553572486,0.4331578345849994,0.6150952595327641,0.029376123747073764,0.3504230133083966,0.3890168124326385,0.4426881213455752,0.3841065789941963,0.3038562922986794,0.00396667500839325
YOLOv8x,5108,0.20228707317204964,0.27014742829436716,0.46524737030538554,0.24177072778528869,0.4849153098970442,0.046237782008594096,0.2561637266886983,0.3144991693737696,0.44740538699263077,0.299590369353331,0.3120999071553669,0.023843510861738023
YOLOv11n,5108,0.4253477225422417,0.49909728857038255,0.5804170410534913,0.49553009041018925,0.6572168450292051,0.007340456969456939,0.3584321490512076,0.39250284744328734,0.4352978578791046,0.38679270896874185,0.2843265077498612,0.003037819448088375
YOLOv11s,5108,0.38343734573721316,0.45376150145468386,0.549263067314795,0.44635488247424093,0.6270638109653744,0.011239648825385652,0.3563831517735279,0.39403542168310485,0.4435532845154306,0.38825315293532986,0.29914368914152695,0.012215834232029175
YOLOv11m,5108,0.3912396164353847,0.46071681904062517,0.5472984623449998,0.4547072263084617,0.632522406761032,0.02160863719656878,0.35986599252927165,0.3969470519710228,0.44550945050207486,0.3915030944779187,0.2999503931787025,0.001577864511896661
YOLOv11l,5108,0.3133593597324449,0.3762746483883861,0.4751177400860676,0.3671952359672476,0.5730498634284609,0.024861923218499872,0.34441964562723965,0.38819819932925576,0.4527760333877463,0.3816485578494958,0.3213403976777494,0.0018955921744583887
YOLOv11x,5108,0.35042835779980075,0.4183000692930349,0.5176088514739899,0.41070713458741265,0.5988207692360635,0.04546634919741824,0.35036941886916984,0.39163238333825623,0.4484559004637109,0.38624279445800763,0.31176480750923524,0.017902799039342134
U-Net,5108,0.6057554628237474,0.7036039954128266,0.714887463093126,0.792676217800681,0.7488143192013447,0.013604234651523248,0.2945730443510275,0.2821311877567813,0.31272541289409683,0.23346834181317822,0.18568320695359458,0.0012265867847594727
mask_rcnn_R_101_C4_3x,5108,0.5260074823708214,0.596870184008152,0.6608803345443802,0.6187228442833227,0.7242033143667103,0.14122661333200448,0.3710071741115464,0.38497610097513585,0.40150952239973464,0.3882465303654036,0.26288764026374906,0.02442018066490831
mask_rcnn_R_101_DC5_3x,5108,0.601268789998774,0.6804522031767506,0.7166109185339594,0.7273764663966332,0.7636661275626162,0.20379792225897475,0.33715827941937687,0.33970626815864885,0.3548140869927479,0.3324047386079031,0.22019382029528758,0.009728563947983472
mask_rcnn_R_101_FPN_3x,5108,0.5360740902429342,0.6110404403095866,0.6797678944151861,0.6206953118743178,0.735960671373336,0.18433435689131117,0.3603418331597642,0.3751824022625712,0.39706651739257004,0.3769964011621335,0.250369867393933,0.013858303748754854
mask_rcnn_R_50_C4_1x,5108,0.5036299910483854,0.5801297512203538,0.6770101458366304,0.5862517433833246,0.7094363135664185,0.11339682490208115,0.3628372810469677,0.3767761818363607,0.3967463975314577,0.38256009666359153,0.26531237523799595,0.009658363019086666
mask_rcnn_R_50_C4_3x,5108,0.4788342452543833,0.5562242219077279,0.6660148627254701,0.5545662183135872,0.6948815855834292,0.11389698743134051,0.3615030042383681,0.37848109080855785,0.4025054147296961,0.3828995275938637,0.2690830382677517,0.010216835636436168
mask_rcnn_R_50_DC5_1x,5108,0.5077973127855551,0.5866166336900164,0.6730358368661161,0.5920375648909357,0.7117307807844695,0.14752074935379808,0.3565008480046783,0.37250564233304667,0.3971871623238749,0.3741330618283472,0.2582635826566769,0.009838991032069184
