model,n,elapsed_s,iou_mean,iou_std,dice_mean,dice_std,precision_mean,precision_std,recall_mean,recall_std,pixel_accuracy_mean,pixel_accuracy_std,inference_time_s_mean,inference_time_s_std
YOLOv8n,5108,0.0,0.3871320268069614,0.3595689805812602,0.4565159845296587,0.3959841433376517,0.5448977048870389,0.4423130576789713,0.4532349650010003,0.39312882293040097,0.6284947526016176,0.3018259689812618,0.07975037499992065,0.03384338801228292
YOLOv8s,5108,29.063991600007284,0.4732798093910736,0.3758094095864293,0.5419021763273475,0.3986339488527226,0.6128554116944418,0.42498414583367794,0.5542593423584353,0.4025481533111852,0.6992484012803905,0.2726239137270951,0.3190269843186841,0.2553671837420181
YOLOv8m,5108,180.73888040000747,0.4312076379472669,0.35148546299791883,0.5099643979766346,0.38147758692913625,0.6143549061874327,0.42156461300826004,0.5017474666671292,0.3774953854159278,0.66402928196273,0.27169816899120447,0.03463132760375412,0.009474760579461984
YOLOv8l,5108,154.18192519999866,0.37033376058090095,0.3504230133083966,0.44199563733609226,0.3890168124326385,0.5511867553572486,0.4426881213455752,0.4331578345849994,0.3841065789941963,0.6150952595327641,0.3038562922986794,0.029376123747073764,0.00396667500839325
YOLOv8x,5108,240.58890819999215,0.20228707317204964,0.2561637266886983,0.27014742829436716,0.3144991693737696,0.46524737030538554,0.44740538699263077,0.24177072778528869,0.299590369353331,0.4849153098970442,0.3120999071553669,0.046237782008594096,0.023843510861738023
YOLOv11n,5108,42.2031422,0.4253477225422417,0.3584321490512076,0.49909728857038255,0.39250284744328734,0.5804170410534913,0.4352978578791046,0.49553009041018925,0.38679270896874185,0.6572168450292051,0.2843265077498612,0.007340456969456939,0.003037819448088375
YOLOv11s,5108,61.723887800006196,0.38343734573721316,0.3563831517735279,0.45376150145468386,0.39403542168310485,0.549263067314795,0.4435532845154306,0.44635488247424093,0.38825315293532986,0.6270638109653744,0.29914368914152695,0.011239648825385652,0.012215834232029175
YOLOv11m,5108,114.93718740000622,0.3912396164353847,0.35986599252927165,0.46071681904062517,0.3969470519710228,0.5472984623449998,0.44550945050207486,0.4547072263084617,0.3915030944779187,0.632522406761032,0.2999503931787025,0.02160863719656878,0.001577864511896661
YOLOv11l,5108,131.6164562000049,0.3133593597324449,0.34441964562723965,0.3762746483883861,0.38819819932925576,0.4751177400860676,0.4527760333877463,0.3671952359672476,0.3816485578494958,0.5730498634284609,0.3213403976777494,0.024861923218499872,0.0018955921744583887
YOLOv11x,5108,236.8827302000136,0.35042835779980075,0.35036941886916984,0.4183000692930349,0.39163238333825623,0.5176088514739899,0.4484559004637109,0.41070713458741265,0.38624279445800763,0.5988207692360635,0.31176480750923524,0.04546634919741824,0.017902799039342134
