comparison,query_split,query,reference_split,reference,cosine
validation-train,validation,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\0-13-24_png_jpg.rf.b2f5c1eb0430f15d455847c4f8dd9ef5.jpg,train,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\0-13-24_png_jpg.rf.0cf8afbf837798262e67a8cd0afbb4c1.jpg,0.855400025844574
validation-train,validation,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\0-13-35_png_jpg.rf.296ded484754caf94091400642d515e6.jpg,train,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\0-13-35_png_jpg.rf.3dd721e5ca4921e1f3e45027e6a0cc12.jpg,0.9285500049591064
validation-train,validation,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\0-13-54_png_jpg.rf.c1933ca1e408ef1277b450b9f47f0718.jpg,train,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\0-13-54_png_jpg.rf.71ed873d5a93e17064496cb9a96d3e57.jpg,0.9837671518325806
validation-train,validation,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\0-14-1_png_jpg.rf.0b1e0cb558e8b86bf593e2e4aacb4a3c.jpg,train,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\0-14-1_png_jpg.rf.45d3c058f8a9afe746c2c2faaeeeb055.jpg,0.9712718725204468
validation-train,validation,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\0-15-3_png_jpg.rf.369f7c038497cf9a999668f0ed2a4e8d.jpg,train,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\0-15-3_png_jpg.rf.41010ea29222be38ae99fec2b991c137.jpg,0.9748613834381104
validation-train,validation,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\0-16-12_png_jpg.rf.8f86edd1732acb15938deae840a82114.jpg,train,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\0-16-12_png_jpg.rf.8aa8239eef4ad18fb8708d802b71a58c.jpg,0.9625293016433716
validation-train,validation,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\0-16-12_png_jpg.rf.afea783da8a5b6d1683d1b7701a50e62.jpg,train,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\0-16-12_png_jpg.rf.787d7f5adc5a4c91803d95c8dcfbe32b.jpg,0.955483078956604
validation-train,validation,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\0-16-12_png_jpg.rf.cb204fabce1898705a1999947b400b3e.jpg,train,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\0-16-12_png_jpg.rf.59c2395d4625908fbfb2bf30e9d704e0.jpg,0.9534297585487366
validation-train,validation,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\0-17-25_png_jpg.rf.29e7e63bd7eb71df36977ef18966c66d.jpg,train,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\0-17-25_png_jpg.rf.7eaefd0a1cfcbbc8b3b0b7a6d895369f.jpg,0.9522260427474976
validation-train,validation,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\0-17-25_png_jpg.rf.f376ef0f86d58a4bd1df4a10a4748d04.jpg,train,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\0-17-25_png_jpg.rf.36e4c22682ce014c036d49102f97cffb.jpg,0.9461945295333862
