comparison,cosine,left,right
test-train,0.9931225180625916,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\valid\images\Cafezal-01_MP4-7_jpg.rf.3070a21c403e64c272150b0f3cc858d2.jpg,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\Cafezal-01_MP4-8_jpg.rf.2d262d0c150a7144e65b6c5486a79c58.jpg
test-train,0.9924678802490234,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\valid\images\Cafezal-01_MP4-4_jpg.rf.5069f14f0ed3fa3d155b14af642be253.jpg,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\Cafezal-01_MP4-3_jpg.rf.1600e5edfdd412fde308c85ae9ccbd32.jpg
test-train,0.9918066263198853,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\valid\images\Cafezal-01_MP4-6_jpg.rf.4588d22cdd598f01784c1f121f385604.jpg,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\Cafezal-01_MP4-8_jpg.rf.2d262d0c150a7144e65b6c5486a79c58.jpg
validation-train,0.9914839863777161,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\IJ_08_25_37_2560_0_png_jpg.rf.28741680dd6dd6a0569d56549918f9c7.jpg,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\IJ_08_25_38_2560_0_png_jpg.rf.da9f84375297ef9864e8a15ef8f388aa.jpg
test-train,0.991273045539856,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\valid\images\IJ_08_25_03_2560_0_png_jpg.rf.21a110b0b1bd70151ba70a1e296f115d.jpg,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\IJ_08_25_04_2560_0_png_jpg.rf.6cf1c1f76f9ef3a821490b198cae19e5.jpg
test-train,0.9912140965461731,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\valid\images\Cafezal-01_MP4-9_jpg.rf.4044aa1fffda906f2f93e00dc7c25434.jpg,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\Cafezal-01_MP4-8_jpg.rf.2d262d0c150a7144e65b6c5486a79c58.jpg
validation-train,0.9910406470298767,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\alina_1111_jpg.rf.aab34247c2908c081297c7dcfdaeabcc.jpg,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\alina_1110_jpg.rf.68041a4ea2bf33a9562caa7d57977315.jpg
validation-train,0.9906187057495117,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\ik_4_03151_png_jpg.rf.704c9a040e3df2215d3cd635a2f477cd.jpg,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\ik_4_03151_png_jpg.rf.f3ec7892197450ede6654ddf3ab5fb9e.jpg
validation-train,0.99003005027771,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\alina_1111_jpg.rf.7f3ba75c4361668c5bb8e1961b40f503.jpg,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\alina_1111_jpg.rf.75790317c6cf85f81642bffdb771841d.jpg
validation-train,0.9897202253341675,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\IJ_08_25_40_2560_0_png_jpg.rf.7e714f76b6f326b4bd892869c515a0c6.jpg,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\IJ_08_25_41_2560_0_png_jpg.rf.34d8e97e795cf78ae7ff32ebdd4f7507.jpg
validation-train,0.9896693229675293,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\test\images\IJ_08_25_42_2560_0_png_jpg.rf.d5a67860281054471a988dbebd21f9c6.jpg,D:\Datasets\Alvaro\Floresta-3-20260714T215823Z-1-001\Floresta-3\train\images\IJ_08_25_41_2560_0_png_jpg.rf.34d8e97e795cf78ae7ff32ebdd4f7507.jpg
